Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
MASIH TETAP ULASAN SAMA.. HARGA MAHAL TAPI SINYAL JELEK,masih tetap ulasan sama.. harga mahal tapi sinyal jelek,masih tetap ulasan sama   harga mahal tapi sinyal jelek,masih tetap ulasan sama   harga mahal tapi sinyal jelek,"['masih', 'tetap', 'ulasan', 'sama', 'harga', 'mahal', 'tapi', 'sinyal', 'jelek']","['masih', 'tetap', 'ulasan', 'sama', 'harga', 'mahal', 'tapi', 'sinyal', 'jelek']","['tetap', 'ulasan', 'sama', 'harga', 'mahal', 'sinyal', 'jelek']",tetap ulas sama harga mahal sinyal jelek,NEGATIF
Memuaskan my telkomsel,memuaskan my telkomsel,memuaskan my telkomsel,memuaskan my telkomsel,"['memuaskan', 'my', 'telkomsel']","['memuaskan', 'my', 'telkomsel']","['memuaskan', 'my', 'telkomsel']",muas my telkomsel,POSITIF
Fitur lock pulsa sudah ada itu yang sangat kami harapkan akhirnya terwujud...namun masih ada problem untuk telkomsel..ketika ada kuota bonus yang terpakai adalah kuota utama. Jadi rasanya cukup siaÂ² bonusnya tidak terpakai. Semoga Telkomsel tetap menjadi yang terdepan. Satu lagi poin Saya tidak masuk setelah pembelian.,fitur lock pulsa sudah ada itu yang sangat kami harapkan akhirnya terwujud...namun masih ada problem untuk telkomsel..ketika ada kuota bonus yang terpakai adalah kuota utama. jadi rasanya cukup siaâ² bonusnya tidak terpakai. semoga telkomsel tetap menjadi yang terdepan. satu lagi poin saya tidak masuk setelah pembelian.,fitur lock pulsa sudah ada itu yang sangat kami harapkan akhirnya terwujud   namun masih ada problem untuk telkomsel  ketika ada kuota bonus yang terpakai adalah kuota utama  jadi rasanya cukup siaâ² bonusnya tidak terpakai  semoga telkomsel tetap menjadi yang terdepan  satu lagi poin saya tidak masuk setelah pembelian ,fitur lock pulsa sudah ada itu yang sangat kami harapkan akhirnya terwujud   namun masih ada problem untuk telkomsel  ketika ada kuota bonus yang terpakai adalah kuota utama  jadi rasanya cukup siaâ² bonusnya tidak terpakai  semoga telkomsel tetap menjadi yang terdepan  satu lagi poin saya tidak masuk setelah pembelian ,"['fitur', 'lock', 'pulsa', 'sudah', 'ada', 'itu', 'yang', 'sangat', 'kami', 'harapkan', 'akhirnya', 'terwujud', 'namun', 'masih', 'ada', 'problem', 'untuk', 'telkomsel', 'ketika', 'ada', 'kuota', 'bonus', 'yang', 'terpakai', 'adalah', 'kuota', 'utama', 'jadi', 'rasanya', 'cukup', 'siaâ²', 'bonusnya', 'tidak', 'terpakai', 'semoga', 'telkomsel', 'tetap', 'menjadi', 'yang', 'terdepan', 'satu', 'lagi', 'poin', 'saya', 'tidak', 'masuk', 'setelah', 'pembelian']","['fitur', 'lock', 'pulsa', 'sudah', 'ada', 'itu', 'yang', 'sangat', 'kami', 'harapkan', 'akhirnya', 'terwujud', 'namun', 'masih', 'ada', 'masalah', 'untuk', 'telkomsel', 'ketika', 'ada', 'kuota', 'bonus', 'yang', 'terpakai', 'adalah', 'kuota', 'utama', 'jadi', 'rasanya', 'cukup', 'sia', 'bonusnya', 'tidak', 'terpakai', 'semoga', 'telkomsel', 'tetap', 'menjadi', 'yang', 'terdepan', 'satu', 'lagi', 'poin', 'saya', 'tidak', 'masuk', 'setelah', 'pembelian']","['fitur', 'lock', 'pulsa', 'sangat', 'harapkan', 'akhirnya', 'terwujud', 'masalah', 'telkomsel', 'kuota', 'bonus', 'terpakai', 'kuota', 'utama', 'jadi', 'rasanya', 'cukup', 'sia', 'bonusnya', 'tidak', 'terpakai', 'semoga', 'telkomsel', 'tetap', 'menjadi', 'terdepan', 'satu', 'poin', 'tidak', 'masuk', 'pembelian']",fitur lock pulsa sangat harap akhir wujud masalah telkomsel kuota bonus pakai kuota utama jadi rasa cukup sia bonus tidak pakai moga telkomsel tetap jadi depan satu poin tidak masuk beli,POSITIF
Mantap sangat membantu.,mantap sangat membantu.,mantap sangat membantu ,mantap sangat membantu ,"['mantap', 'sangat', 'membantu']","['mantap', 'sangat', 'membantu']","['mantap', 'sangat', 'membantu']",mantap sangat bantu,POSITIF
sekarang lebih keren,sekarang lebih keren,sekarang lebih keren,sekarang lebih keren,"['sekarang', 'lebih', 'keren']","['sekarang', 'lebih', 'keren']","['sekarang', 'lebih', 'keren']",sekarang lebih keren,POSITIF
hanya mencoba,hanya mencoba,hanya mencoba,hanya mencoba,"['hanya', 'mencoba']","['hanya', 'mencoba']",['mencoba'],coba,NETRAL
fungsi jaga pulsa aktiff. good ga maling pulsa lg. ðð,fungsi jaga pulsa aktiff. good ga maling pulsa lg. ðð,fungsi jaga pulsa aktiff  good ga maling pulsa lg  ðð,fungsi jaga pulsa aktiff  good ga maling pulsa lg  ðð,"['fungsi', 'jaga', 'pulsa', 'aktiff', 'good', 'ga', 'maling', 'pulsa', 'lg', 'ð\x9f\x98\x82ð\x9f\x98\x82']","['fungsi', 'jaga', 'pulsa', 'aktif', 'good', 'tidak', 'maling', 'pulsa', 'lagi', 'ð\x9f\x98\x82ð\x9f\x98\x82']","['fungsi', 'jaga', 'pulsa', 'aktif', 'good', 'tidak', 'maling', 'pulsa', 'ð\x9f\x98\x82ð\x9f\x98\x82']",fungsi jaga pulsa aktif good tidak maling pulsa,POSITIF
Saya sangat kecewa sekali karena pulsa saya di potong sama pihak Telkomsel saat saya membeli kouta,saya sangat kecewa sekali karena pulsa saya di potong sama pihak telkomsel saat saya membeli kouta,saya sangat kecewa sekali karena pulsa saya di potong sama pihak telkomsel saat saya membeli kouta,saya sangat kecewa sekali karena pulsa saya di potong sama pihak telkomsel saat saya membeli kouta,"['saya', 'sangat', 'kecewa', 'sekali', 'karena', 'pulsa', 'saya', 'di', 'potong', 'sama', 'pihak', 'telkomsel', 'saat', 'saya', 'membeli', 'kouta']","['saya', 'sangat', 'kecewa', 'sekali', 'karena', 'pulsa', 'saya', 'di', 'potong', 'sama', 'pihak', 'telkomsel', 'saat', 'saya', 'membeli', 'kouta']","['sangat', 'kecewa', 'sekali', 'pulsa', 'potong', 'sama', 'pihak', 'telkomsel', 'membeli', 'kouta']",sangat kecewa sekali pulsa potong sama pihak telkomsel beli kouta,NEGATIF
"UIXnya jauh lebih baik dari versi yg lalu. sangat mudah nemuin hal2 yg diperlukan, dan sekarang dirasa agak lebih transparan apa yang dibeli, dan apa yg di dapat. loading aplikasinya juga udah meningkat. dari yg sebelumnya lemot abis, sekarang lancar.","uixnya jauh lebih baik dari versi yg lalu. sangat mudah nemuin hal2 yg diperlukan, dan sekarang dirasa agak lebih transparan apa yang dibeli, dan apa yg di dapat. loading aplikasinya juga udah meningkat. dari yg sebelumnya lemot abis, sekarang lancar.",uixnya jauh lebih baik dari versi yg lalu  sangat mudah nemuin hal2 yg diperlukan  dan sekarang dirasa agak lebih transparan apa yang dibeli  dan apa yg di dapat  loading aplikasinya juga udah meningkat  dari yg sebelumnya lemot abis  sekarang lancar ,uixnya jauh lebih baik dari versi yg lalu  sangat mudah nemuin hal yg diperlukan  dan sekarang dirasa agak lebih transparan apa yang dibeli  dan apa yg di dapat  loading aplikasinya juga udah meningkat  dari yg sebelumnya lemot abis  sekarang lancar ,"['uixnya', 'jauh', 'lebih', 'baik', 'dari', 'versi', 'yg', 'lalu', 'sangat', 'mudah', 'nemuin', 'hal', 'yg', 'diperlukan', 'dan', 'sekarang', 'dirasa', 'agak', 'lebih', 'transparan', 'apa', 'yang', 'dibeli', 'dan', 'apa', 'yg', 'di', 'dapat', 'loading', 'aplikasinya', 'juga', 'udah', 'meningkat', 'dari', 'yg', 'sebelumnya', 'lemot', 'abis', 'sekarang', 'lancar']","['ux', 'jauh', 'lebih', 'baik', 'dari', 'versi', 'yang', 'lalu', 'sangat', 'mudah', 'menemukan', 'hal', 'yang', 'diperlukan', 'dan', 'sekarang', 'dirasa', 'agak', 'lebih', 'transparan', 'apa', 'yang', 'dibeli', 'dan', 'apa', 'yang', 'di', 'dapat', 'loading', 'aplikasinya', 'juga', 'sudah', 'meningkat', 'dari', 'yang', 'sebelumnya', 'lambat', 'habis', 'sekarang', 'lancar']","['ux', 'jauh', 'lebih', 'baik', 'versi', 'lalu', 'sangat', 'mudah', 'menemukan', 'diperlukan', 'sekarang', 'dirasa', 'lebih', 'transparan', 'apa', 'dibeli', 'apa', 'loading', 'aplikasinya', 'meningkat', 'sebelumnya', 'lambat', 'habis', 'sekarang', 'lancar']",ux jauh lebih baik versi lalu sangat mudah temu perlu sekarang rasa lebih transparan apa beli apa loading aplikasi tingkat belum lambat habis sekarang lancar,POSITIF
lumayan lihat perkembangan,lumayan lihat perkembangan,lumayan lihat perkembangan,lumayan lihat perkembangan,"['lumayan', 'lihat', 'perkembangan']","['lumayan', 'lihat', 'perkembangan']","['lumayan', 'lihat', 'perkembangan']",lumayan lihat kembang,NETRAL
"ADA APA INI TELKOMSEL? SEHARIAN JARINGAN TENGGELAM TIMBUL. BAHKAN SEKARANG HILANG TOTAL. PERBAIKI LAH. JANGAN UANG KONSUMEN MASUK, PELAYANAN SEMAKIN BURUK....PERBAIKI....","ada apa ini telkomsel? seharian jaringan tenggelam timbul. bahkan sekarang hilang total. perbaiki lah. jangan uang konsumen masuk, pelayanan semakin buruk....perbaiki....",ada apa ini telkomsel  seharian jaringan tenggelam timbul  bahkan sekarang hilang total  perbaiki lah  jangan uang konsumen masuk  pelayanan semakin buruk    perbaiki    ,ada apa ini telkomsel  seharian jaringan tenggelam timbul  bahkan sekarang hilang total  perbaiki lah  jangan uang konsumen masuk  pelayanan semakin buruk    perbaiki    ,"['ada', 'apa', 'ini', 'telkomsel', 'seharian', 'jaringan', 'tenggelam', 'timbul', 'bahkan', 'sekarang', 'hilang', 'total', 'perbaiki', 'lah', 'jangan', 'uang', 'konsumen', 'masuk', 'pelayanan', 'semakin', 'buruk', 'perbaiki']","['ada', 'apa', 'ini', 'telkomsel', 'seharian', 'jaringan', 'tenggelam', 'timbul', 'bahkan', 'sekarang', 'hilang', 'total', 'perbaiki', 'lah', 'jangan', 'uang', 'konsumen', 'masuk', 'pelayanan', 'semakin', 'buruk', 'perbaiki']","['apa', 'telkomsel', 'seharian', 'jaringan', 'tenggelam', 'timbul', 'bahkan', 'sekarang', 'hilang', 'total', 'perbaiki', 'lah', 'jangan', 'uang', 'konsumen', 'masuk', 'pelayanan', 'semakin', 'buruk', 'perbaiki']",apa telkomsel hari jaring tenggelam timbul bahkan sekarang hilang total baik lah jangan uang konsumen masuk layan makin buruk baik,NEGATIF
Terimakasih min sudah di beri fitur lock pulsa semoga tidak berkurang saat paket internet habis jadi bisa isi pulsa sewaktu-waktu tanpa harus menunggu paket internet habis baru beli pulsa karna takut pulsa kepotong saat paket internet habis dan data masih nyala,terimakasih min sudah di beri fitur lock pulsa semoga tidak berkurang saat paket internet habis jadi bisa isi pulsa sewaktu-waktu tanpa harus menunggu paket internet habis baru beli pulsa karna takut pulsa kepotong saat paket internet habis dan data masih nyala,terimakasih min sudah di beri fitur lock pulsa semoga tidak berkurang saat paket internet habis jadi bisa isi pulsa sewaktu waktu tanpa harus menunggu paket internet habis baru beli pulsa karna takut pulsa kepotong saat paket internet habis dan data masih nyala,terimakasih min sudah di beri fitur lock pulsa semoga tidak berkurang saat paket internet habis jadi bisa isi pulsa sewaktu waktu tanpa harus menunggu paket internet habis baru beli pulsa karna takut pulsa kepotong saat paket internet habis dan data masih nyala,"['terimakasih', 'min', 'sudah', 'di', 'beri', 'fitur', 'lock', 'pulsa', 'semoga', 'tidak', 'berkurang', 'saat', 'paket', 'internet', 'habis', 'jadi', 'bisa', 'isi', 'pulsa', 'sewaktu', 'waktu', 'tanpa', 'harus', 'menunggu', 'paket', 'internet', 'habis', 'baru', 'beli', 'pulsa', 'karna', 'takut', 'pulsa', 'kepotong', 'saat', 'paket', 'internet', 'habis', 'dan', 'data', 'masih', 'nyala']","['terima kasih', 'admin', 'sudah', 'di', 'beri', 'fitur', 'lock', 'pulsa', 'semoga', 'tidak', 'berkurang', 'saat', 'paket', 'internet', 'habis', 'jadi', 'bisa', 'isi', 'pulsa', 'sewaktu', 'waktu', 'tanpa', 'harus', 'menunggu', 'paket', 'internet', 'habis', 'baru', 'beli', 'pulsa', 'karena', 'takut', 'pulsa', 'terpotong', 'saat', 'paket', 'internet', 'habis', 'dan', 'data', 'masih', 'menyala']","['terima kasih', 'admin', 'beri', 'fitur', 'lock', 'pulsa', 'semoga', 'tidak', 'berkurang', 'paket', 'internet', 'habis', 'jadi', 'isi', 'pulsa', 'sewaktu', 'waktu', 'menunggu', 'paket', 'internet', 'habis', 'baru', 'beli', 'pulsa', 'takut', 'pulsa', 'terpotong', 'paket', 'internet', 'habis', 'data', 'menyala']",terima kasih admin beri fitur lock pulsa moga tidak kurang paket internet habis jadi isi pulsa waktu waktu tunggu paket internet habis baru beli pulsa takut pulsa potong paket internet habis data nyala,POSITIF
"Blank spot signal Telkomsel di jalan dewa ciangsana dari tahun jebot kapan difollow up? Paket pulsa internet yang ada telpon, sms dll mending dihilangkan saja Min. Ga pernah dipake, jual saja yang full internet tidak usah di bagi2 lg buat kuota hiburan dll.","blank spot signal telkomsel di jalan dewa ciangsana dari tahun jebot kapan difollow up? paket pulsa internet yang ada telpon, sms dll mending dihilangkan saja min. ga pernah dipake, jual saja yang full internet tidak usah di bagi2 lg buat kuota hiburan dll.",blank spot signal telkomsel di jalan dewa ciangsana dari tahun jebot kapan difollow up  paket pulsa internet yang ada telpon  sms dll mending dihilangkan saja min  ga pernah dipake  jual saja yang full internet tidak usah di bagi2 lg buat kuota hiburan dll ,blank spot signal telkomsel di jalan dewa ciangsana dari tahun jebot kapan difollow up  paket pulsa internet yang ada telpon  sms dll mending dihilangkan saja min  ga pernah dipake  jual saja yang full internet tidak usah di bagi lg buat kuota hiburan dll ,"['blank', 'spot', 'signal', 'telkomsel', 'di', 'jalan', 'dewa', 'ciangsana', 'dari', 'tahun', 'jebot', 'kapan', 'difollow', 'up', 'paket', 'pulsa', 'internet', 'yang', 'ada', 'telpon', 'sms', 'dll', 'mending', 'dihilangkan', 'saja', 'min', 'ga', 'pernah', 'dipake', 'jual', 'saja', 'yang', 'full', 'internet', 'tidak', 'usah', 'di', 'bagi', 'lg', 'buat', 'kuota', 'hiburan', 'dll']","['blank', 'spot', 'sinyal', 'telkomsel', 'di', 'jalan', 'dewa', 'ciangsana', 'dari', 'tahun', 'jebot', 'kapan', 'follow', 'up', 'paket', 'pulsa', 'internet', 'yang', 'ada', 'telepon', 'sms', 'dan lain lain', 'mending', 'dihilangkan', 'saja', 'admin', 'tidak', 'pernah', 'dipakai', 'jual', 'saja', 'yang', 'full', 'internet', 'tidak', 'usah', 'di', 'bagi', 'lagi', 'buat', 'kuota', 'hiburan', 'dan lain lain']","['blank', 'spot', 'sinyal', 'telkomsel', 'jalan', 'dewa', 'ciangsana', 'tahun', 'jebot', 'kapan', 'follow', 'up', 'paket', 'pulsa', 'internet', 'telepon', 'sms', 'dan lain lain', 'mending', 'dihilangkan', 'admin', 'tidak', 'pernah', 'dipakai', 'jual', 'full', 'internet', 'tidak', 'usah', 'buat', 'kuota', 'hiburan', 'dan lain lain']",blank spot sinyal telkomsel jalan dewa ciangsana tahun jebot kapan follow up paket pulsa internet telepon sms dan lain lain mending hilang admin tidak pernah pakai jual full internet tidak usah buat kuota hibur dan lain lain,NETRAL
"Jaringan gak ada guna nya..nyesal gue pake kartu ini Beda sama kartu tetangga,jaringan ny full","jaringan gak ada guna nya..nyesal gue pake kartu ini beda sama kartu tetangga,jaringan ny full",jaringan gak ada guna nya  nyesal gue pake kartu ini beda sama kartu tetangga jaringan ny full,jaringan gak ada guna nya  nyesal gue pake kartu ini beda sama kartu tetangga jaringan ny full,"['jaringan', 'gak', 'ada', 'guna', 'nya', 'nyesal', 'gue', 'pake', 'kartu', 'ini', 'beda', 'sama', 'kartu', 'tetangga', 'jaringan', 'ny', 'full']","['jaringan', 'tidak', 'ada', 'guna', 'nya', 'menyesal', 'gue', 'pakai', 'kartu', 'ini', 'beda', 'sama', 'kartu', 'tetangga', 'jaringan', 'nya', 'full']","['jaringan', 'tidak', 'nya', 'menyesal', 'gue', 'pakai', 'kartu', 'beda', 'sama', 'kartu', 'tetangga', 'jaringan', 'nya', 'full']",jaring tidak nya sesal gue pakai kartu beda sama kartu tetangga jaring nya full,NEGATIF
Semoga aja tarif nya gak naik terus dan makin banyak promo nya,semoga aja tarif nya gak naik terus dan makin banyak promo nya,semoga aja tarif nya gak naik terus dan makin banyak promo nya,semoga aja tarif nya gak naik terus dan makin banyak promo nya,"['semoga', 'aja', 'tarif', 'nya', 'gak', 'naik', 'terus', 'dan', 'makin', 'banyak', 'promo', 'nya']","['semoga', 'saja', 'tarif', 'nya', 'tidak', 'naik', 'terus', 'dan', 'makin', 'banyak', 'promo', 'nya']","['semoga', 'tarif', 'nya', 'tidak', 'naik', 'terus', 'makin', 'banyak', 'promo', 'nya']",moga tarif nya tidak naik terus makin banyak promo nya,NETRAL
mudah pengguna,mudah pengguna,mudah pengguna,mudah pengguna,"['mudah', 'pengguna']","['mudah', 'pengguna']","['mudah', 'pengguna']",mudah guna,POSITIF
"Belum coba sih, tapi semoga saja bagus ya.","belum coba sih, tapi semoga saja bagus ya.",belum coba sih  tapi semoga saja bagus ya ,belum coba sih  tapi semoga saja bagus ya ,"['belum', 'coba', 'sih', 'tapi', 'semoga', 'saja', 'bagus', 'ya']","['belum', 'coba', 'sih', 'tapi', 'semoga', 'saja', 'bagus', 'ya']","['belum', 'coba', 'sih', 'semoga', 'bagus']",belum coba sih moga bagus,NETRAL
"Aplikasi ini gak seru, eventÂ² udah hilang","aplikasi ini gak seru, eventâ² udah hilang",aplikasi ini gak seru  eventâ² udah hilang,aplikasi ini gak seru  eventâ² udah hilang,"['aplikasi', 'ini', 'gak', 'seru', 'eventâ²', 'udah', 'hilang']","['aplikasi', 'ini', 'tidak', 'seru', 'event', 'sudah', 'hilang']","['aplikasi', 'tidak', 'seru', 'event', 'hilang']",aplikasi tidak seru event hilang,NEGATIF
Y ndatau ko tanya saya,y ndatau ko tanya saya,y ndatau ko tanya saya,y ndatau ko tanya saya,"['y', 'ndatau', 'ko', 'tanya', 'saya']","['y', 'tidak tahu', 'ko', 'tanya', 'saya']","['y', 'tidak tahu', 'ko', 'tanya']",y tidak tahu ko tanya,NETRAL
masih mantap,masih mantap,masih mantap,masih mantap,"['masih', 'mantap']","['masih', 'mantap']",['mantap'],mantap,POSITIF
"Telkomsel taik lah,jaringan suka hilang hilang gk jelas,mati hidup mati hidup,mengganggu aktifitas online saja...","telkomsel taik lah,jaringan suka hilang hilang gk jelas,mati hidup mati hidup,mengganggu aktifitas online saja...",telkomsel taik lah jaringan suka hilang hilang gk jelas mati hidup mati hidup mengganggu aktifitas online saja   ,telkomsel taik lah jaringan suka hilang hilang gk jelas mati hidup mati hidup mengganggu aktifitas online saja   ,"['telkomsel', 'taik', 'lah', 'jaringan', 'suka', 'hilang', 'hilang', 'gk', 'jelas', 'mati', 'hidup', 'mati', 'hidup', 'mengganggu', 'aktifitas', 'online', 'saja']","['telkomsel', 'tai', 'lah', 'jaringan', 'suka', 'hilang', 'hilang', 'tidak', 'jelas', 'mati', 'hidup', 'mati', 'hidup', 'mengganggu', 'aktivitas', 'online', 'saja']","['telkomsel', 'tai', 'lah', 'jaringan', 'suka', 'hilang', 'hilang', 'tidak', 'jelas', 'mati', 'hidup', 'mati', 'hidup', 'mengganggu', 'aktivitas', 'online']",telkomsel tai lah jaring suka hilang hilang tidak jelas mati hidup mati hidup ganggu aktivitas online,NEGATIF
my Telkomsel mantaf,my telkomsel mantaf,my telkomsel mantaf,my telkomsel mantaf,"['my', 'telkomsel', 'mantaf']","['my', 'telkomsel', 'mantap']","['my', 'telkomsel', 'mantap']",my telkomsel mantap,POSITIF
"Harga yang mahal tidak sesuai dengan kualitas yang sangat buruk. Harga paket internet tidak adil, berbeda beda ada pengguna yang dapat harga paket internet murah dan ada yang dapat paket mahal. Aplikasi my Telkomsel sangat tidak berguna. Sudah puluhan tahun pakai Telkomsel peningkatan sangat kecil. Dan makin lama makin TOLOL TELKOMSEL INI.","harga yang mahal tidak sesuai dengan kualitas yang sangat buruk. harga paket internet tidak adil, berbeda beda ada pengguna yang dapat harga paket internet murah dan ada yang dapat paket mahal. aplikasi my telkomsel sangat tidak berguna. sudah puluhan tahun pakai telkomsel peningkatan sangat kecil. dan makin lama makin tolol telkomsel ini.",harga yang mahal tidak sesuai dengan kualitas yang sangat buruk  harga paket internet tidak adil  berbeda beda ada pengguna yang dapat harga paket internet murah dan ada yang dapat paket mahal  aplikasi my telkomsel sangat tidak berguna  sudah puluhan tahun pakai telkomsel peningkatan sangat kecil  dan makin lama makin tolol telkomsel ini ,harga yang mahal tidak sesuai dengan kualitas yang sangat buruk  harga paket internet tidak adil  berbeda beda ada pengguna yang dapat harga paket internet murah dan ada yang dapat paket mahal  aplikasi my telkomsel sangat tidak berguna  sudah puluhan tahun pakai telkomsel peningkatan sangat kecil  dan makin lama makin tolol telkomsel ini ,"['harga', 'yang', 'mahal', 'tidak', 'sesuai', 'dengan', 'kualitas', 'yang', 'sangat', 'buruk', 'harga', 'paket', 'internet', 'tidak', 'adil', 'berbeda', 'beda', 'ada', 'pengguna', 'yang', 'dapat', 'harga', 'paket', 'internet', 'murah', 'dan', 'ada', 'yang', 'dapat', 'paket', 'mahal', 'aplikasi', 'my', 'telkomsel', 'sangat', 'tidak', 'berguna', 'sudah', 'puluhan', 'tahun', 'pakai', 'telkomsel', 'peningkatan', 'sangat', 'kecil', 'dan', 'makin', 'lama', 'makin', 'tolol', 'telkomsel', 'ini']","['harga', 'yang', 'mahal', 'tidak', 'sesuai', 'dengan', 'kualitas', 'yang', 'sangat', 'buruk', 'harga', 'paket', 'internet', 'tidak', 'adil', 'berbeda', 'beda', 'ada', 'pengguna', 'yang', 'dapat', 'harga', 'paket', 'internet', 'murah', 'dan', 'ada', 'yang', 'dapat', 'paket', 'mahal', 'aplikasi', 'my', 'telkomsel', 'sangat', 'tidak', 'berguna', 'sudah', 'puluhan', 'tahun', 'pakai', 'telkomsel', 'peningkatan', 'sangat', 'kecil', 'dan', 'makin', 'lama', 'makin', 'tolol', 'telkomsel', 'ini']","['harga', 'mahal', 'tidak', 'sesuai', 'kualitas', 'sangat', 'buruk', 'harga', 'paket', 'internet', 'tidak', 'adil', 'berbeda', 'beda', 'pengguna', 'harga', 'paket', 'internet', 'murah', 'paket', 'mahal', 'aplikasi', 'my', 'telkomsel', 'sangat', 'tidak', 'berguna', 'puluhan', 'tahun', 'pakai', 'telkomsel', 'peningkatan', 'sangat', 'kecil', 'makin', 'lama', 'makin', 'tolol', 'telkomsel']",harga mahal tidak sesuai kualitas sangat buruk harga paket internet tidak adil beda beda guna harga paket internet murah paket mahal aplikasi my telkomsel sangat tidak guna puluh tahun pakai telkomsel tingkat sangat kecil makin lama makin tolol telkomsel,NEGATIF
Bagus mmmmm,bagus mmmmm,bagus mmmmm,bagus mmmmm,"['bagus', 'mmmmm']","['bagus', 'mmmmm']","['bagus', 'mmmmm']",bagus mmmmm,POSITIF
Bagus dan berguna untuk pencarian di google,bagus dan berguna untuk pencarian di google,bagus dan berguna untuk pencarian di google,bagus dan berguna untuk pencarian di google,"['bagus', 'dan', 'berguna', 'untuk', 'pencarian', 'di', 'google']","['bagus', 'dan', 'berguna', 'untuk', 'pencarian', 'di', 'google']","['bagus', 'berguna', 'pencarian', 'google']",bagus guna cari google,POSITIF
Dua dulu karena blm digunakan semoga bisa ditukarkan dengan pulsa atau paket internet kedepannya,dua dulu karena blm digunakan semoga bisa ditukarkan dengan pulsa atau paket internet kedepannya,dua dulu karena blm digunakan semoga bisa ditukarkan dengan pulsa atau paket internet kedepannya,dua dulu karena blm digunakan semoga bisa ditukarkan dengan pulsa atau paket internet kedepannya,"['dua', 'dulu', 'karena', 'blm', 'digunakan', 'semoga', 'bisa', 'ditukarkan', 'dengan', 'pulsa', 'atau', 'paket', 'internet', 'kedepannya']","['dua', 'dulu', 'karena', 'belum', 'digunakan', 'semoga', 'bisa', 'ditukarkan', 'dengan', 'pulsa', 'atau', 'paket', 'internet', 'kedepannya']","['dulu', 'belum', 'digunakan', 'semoga', 'ditukarkan', 'pulsa', 'paket', 'internet', 'kedepannya']",dulu belum guna moga tukar pulsa paket internet depan,NETRAL
more good network,more good network,more good network,more good network,"['more', 'good', 'network']","['more', 'good', 'network']","['more', 'good', 'network']",more good network,POSITIF
baru download jd belum tau asyiknya,baru download jd belum tau asyiknya,baru download jd belum tau asyiknya,baru download jd belum tau asyiknya,"['baru', 'download', 'jd', 'belum', 'tau', 'asyiknya']","['baru', 'download', 'jadi', 'belum', 'tahu', 'asyiknya']","['baru', 'download', 'jadi', 'belum', 'tahu', 'asyiknya']",baru download jadi belum tahu asyik,NETRAL
Aplikasi nya bagus... Tapi tower disini nya lemot Trus...,aplikasi nya bagus... tapi tower disini nya lemot trus...,aplikasi nya bagus    tapi tower disini nya lemot trus   ,aplikasi nya bagus    tapi tower disini nya lemot trus   ,"['aplikasi', 'nya', 'bagus', 'tapi', 'tower', 'disini', 'nya', 'lemot', 'trus']","['aplikasi', 'nya', 'bagus', 'tapi', 'tower', 'disini', 'nya', 'lambat', 'terus']","['aplikasi', 'nya', 'bagus', 'tower', 'disini', 'nya', 'lambat', 'terus']",aplikasi nya bagus tower sini nya lambat terus,NETRAL
"Kenapa sih Telkomsel lebih mahal paket nya, gak seperti kartu lainnya lebik murah, jika Telkomsel lebih murah mukin banya pengun nya","kenapa sih telkomsel lebih mahal paket nya, gak seperti kartu lainnya lebik murah, jika telkomsel lebih murah mukin banya pengun nya",kenapa sih telkomsel lebih mahal paket nya  gak seperti kartu lainnya lebik murah  jika telkomsel lebih murah mukin banya pengun nya,kenapa sih telkomsel lebih mahal paket nya  gak seperti kartu lainnya lebik murah  jika telkomsel lebih murah mukin banya pengun nya,"['kenapa', 'sih', 'telkomsel', 'lebih', 'mahal', 'paket', 'nya', 'gak', 'seperti', 'kartu', 'lainnya', 'lebik', 'murah', 'jika', 'telkomsel', 'lebih', 'murah', 'mukin', 'banya', 'pengun', 'nya']","['kenapa', 'sih', 'telkomsel', 'lebih', 'mahal', 'paket', 'nya', 'tidak', 'seperti', 'kartu', 'lainnya', 'lebih', 'murah', 'jika', 'telkomsel', 'lebih', 'murah', 'mungkin', 'banyak', 'ingin', 'nya']","['sih', 'telkomsel', 'lebih', 'mahal', 'paket', 'nya', 'tidak', 'kartu', 'lainnya', 'lebih', 'murah', 'telkomsel', 'lebih', 'murah', 'mungkin', 'banyak', 'nya']",sih telkomsel lebih mahal paket nya tidak kartu lain lebih murah telkomsel lebih murah mungkin banyak nya,NEGATIF
"Apk cengoh lawak masa hadiah harian 22 hari cuma jatah claim nya ,18 hari","apk cengoh lawak masa hadiah harian 22 hari cuma jatah claim nya ,18 hari",apk cengoh lawak masa hadiah harian 22 hari cuma jatah claim nya  18 hari,apk cengoh lawak masa hadiah harian  hari cuma jatah claim nya   hari,"['apk', 'cengoh', 'lawak', 'masa', 'hadiah', 'harian', 'hari', 'cuma', 'jatah', 'claim', 'nya', 'hari']","['aplikasi', 'cengoh', 'lawak', 'masa', 'hadiah', 'harian', 'hari', 'cuma', 'jatah', 'klaim', 'nya', 'hari']","['aplikasi', 'cengoh', 'lawak', 'masa', 'hadiah', 'harian', 'hari', 'cuma', 'jatah', 'klaim', 'nya', 'hari']",aplikasi cengoh lawak masa hadiah hari hari cuma jatah klaim nya hari,NEGATIF
